,Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code
2,1809119,3,3409578.0,3887884.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,20.0,1.0,1.0,1.0,6.0,,,,,,0.0,47.0,,,1.0,,,,0.0,9.0,0.0,0.0
4,1809119,3,3409579.0,3887885.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,66.0,1.0,1.0,9.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,9.0,9.0,0.0
7,1809229,3,3409765.0,3888073.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,41.0,2.0,4.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
8,1809229,3,0.0,3888074.0,2.0,,1.0,3.0,0.0,0.0,2.0,32.0,,,1.0,,,1.0,0.0,0.0,4.0,50.0,70.0,,,18.0,,,,0.0,9.0,1.0,0.0
11,1809637,3,3410470.0,3888766.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,90.0,2.0,4.0,1.0,2.0,1.0,,,,,0.0,47.0,81.0,,1.0,,,,0.0,9.0,0.0,0.0
14,1810874,3,3412622.0,3890872.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,44.0,1.0,1.0,9.0,2.0,,,,,,0.0,0.0,,,0.0,,,,4.0,0.0,0.0,0.0
15,1810874,3,0.0,3890873.0,2.0,,1.0,3.0,0.0,0.0,1.0,48.0,,,1.0,,,1.0,1.0,5.0,2.0,35.0,20.0,55.0,,4.0,19.0,,,0.0,9.0,1.0,0.0
18,1812266,3,3415030.0,3893223.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,20.0,3.0,1.0,3.0,9.0,1.0,,,,,0.0,20.0,47.0,51.0,4.0,1.0,33.0,,86.0,,1.0,0.0
20,1812266,3,3415031.0,3893224.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,59.0,1.0,1.0,1.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,1.0,0.0
21,1812266,3,3415031.0,3893225.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,60.0,,,1.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,15.0,0.0,1.0,0.0
