,Crash ID,Record Type,Vehicle ID,Vehicle Coded Seq#,Total Count of Persons Involved,Total Persons Using Safety Equipment  ,Total Persons Not Using Safety Equipment,Total Persons Safety Equipment Use Unknown,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity
1,1809119,2,3409578.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3,1809119,2,3409579.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,15.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,2.0,0.0
6,1809229,2,3409765.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
10,1809637,2,3410470.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,62.0,10.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
13,1810874,2,3412622.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
17,1812266,2,3415030.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
19,1812266,2,3415031.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
22,1812266,2,3415032.0,3.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,22.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,1812266,2,3415033.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,22.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
27,1815964,2,3421313.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
